2026-07-16 15:04:42.386953,63926.0
2026-07-16 15:05:22.103984,63942.78125
2026-07-16 15:05:57.574958,63951.140625
2026-07-16 15:06:13.589697,63941.80078125
2026-07-16 15:06:22.253328,63941.80078125
2026-07-16 15:08:55.480152,63969.44921875
2026-07-16 15:09:01.340833,63969.44921875
2026-07-16 15:09:06.688531,63964.80859375
2026-07-16 15:09:12.050087,63964.80859375
2026-07-16 15:09:17.362396,63969.44140625
2026-07-16 15:09:22.597446,63969.44140625
2026-07-16 15:09:27.832096,63969.44140625
2026-07-16 15:09:33.129883,63963.62890625
2026-07-16 15:09:38.379523,63963.62890625
2026-07-16 15:09:43.610648,63963.62890625
2026-07-16 15:09:48.914216,63972.78125
2026-07-16 15:09:54.170102,63972.78125
2026-07-16 15:09:59.485830,63974.55078125
